Job ID: 3636051
Running on node: hyperion-030.sw.ehu.es
Starting time: Sun Nov 16 10:58:57 CET 2025
GPU assigned: 0
Working directory: /scratch/aitordiez/News2Stock/pointer_generator
Starting training...
================================================================================
POINTER-GENERATOR NETWORK TRAINING
================================================================================

✓ Using device: cuda

Loading preprocessed data...
✓ Train: 83871 examples
✓ Val: 10483 examples
✓ Test: 10485 examples
✓ Vocabulary size: 20000

✓ Created dataloaders (batch_size=16)

================================================================================
INITIALIZING MODEL
================================================================================
✓ Model initialized
✓ Trainable parameters: 12,627,363
✓ Coverage mechanism: Disabled
✓ Optimizer: Adam (lr=0.001)
✓ LR Scheduler: ReduceLROnPlateau (patience=2)

================================================================================
TRAINING
================================================================================
✓ Logging to: /scratch/aitordiez/News2Stock/pointer_generator/logs/training_20251116_105918.log

Epoch 1/20
----------------------------------------
  Batch 1220/5242, Loss: 5.9027, NLL: 5.9027, Coverage: 0.0000
  Batch 1230/5242, Loss: 5.3950, NLL: 5.3950, Coverage: 0.0000
  Batch 1240/5242, Loss: 5.8474, NLL: 5.8474, Coverage: 0.0000
  Batch 1250/5242, Loss: 6.0423, NLL: 6.0423, Coverage: 0.0000
  Batch 1260/5242, Loss: 5.9751, NLL: 5.9751, Coverage: 0.0000
  Batch 1270/5242, Loss: 6.0008, NLL: 6.0008, Coverage: 0.0000
  Batch 1280/5242, Loss: 5.6930, NLL: 5.6930, Coverage: 0.0000
  Batch 1290/5242, Loss: 5.9444, NLL: 5.9444, Coverage: 0.0000
  Batch 1300/5242, Loss: 5.6609, NLL: 5.6609, Coverage: 0.0000
  Batch 1310/5242, Loss: 5.8270, NLL: 5.8270, Coverage: 0.0000
  Batch 1320/5242, Loss: 5.4997, NLL: 5.4997, Coverage: 0.0000
  Batch 1330/5242, Loss: 6.0362, NLL: 6.0362, Coverage: 0.0000
  Batch 1340/5242, Loss: 5.9880, NLL: 5.9880, Coverage: 0.0000
  Batch 1350/5242, Loss: 5.8234, NLL: 5.8234, Coverage: 0.0000
  Batch 1360/5242, Loss: 5.6158, NLL: 5.6158, Coverage: 0.0000
  Batch 1370/5242, Loss: 5.5975, NLL: 5.5975, Coverage: 0.0000
  Batch 1380/5242, Loss: 5.6546, NLL: 5.6546, Coverage: 0.0000
  Batch 1390/5242, Loss: 5.8134, NLL: 5.8134, Coverage: 0.0000
  Batch 1400/5242, Loss: 5.8415, NLL: 5.8415, Coverage: 0.0000
  Batch 1410/5242, Loss: 5.9174, NLL: 5.9174, Coverage: 0.0000
  Batch 1420/5242, Loss: 5.6701, NLL: 5.6701, Coverage: 0.0000
  Batch 1430/5242, Loss: 5.6808, NLL: 5.6808, Coverage: 0.0000
  Batch 1440/5242, Loss: 5.7106, NLL: 5.7106, Coverage: 0.0000
  Batch 1450/5242, Loss: 5.8695, NLL: 5.8695, Coverage: 0.0000
  Batch 1460/5242, Loss: 5.7740, NLL: 5.7740, Coverage: 0.0000
  Batch 1470/5242, Loss: 5.8349, NLL: 5.8349, Coverage: 0.0000
  Batch 1480/5242, Loss: 5.6274, NLL: 5.6274, Coverage: 0.0000
  Batch 1490/5242, Loss: 5.5093, NLL: 5.5093, Coverage: 0.0000
  Batch 1500/5242, Loss: 5.8254, NLL: 5.8254, Coverage: 0.0000
  Batch 1510/5242, Loss: 6.1789, NLL: 6.1789, Coverage: 0.0000
  Batch 1520/5242, Loss: 5.7114, NLL: 5.7114, Coverage: 0.0000
  Batch 1530/5242, Loss: 5.7427, NLL: 5.7427, Coverage: 0.0000
  Batch 1540/5242, Loss: 5.6268, NLL: 5.6268, Coverage: 0.0000
  Batch 1550/5242, Loss: 5.8613, NLL: 5.8613, Coverage: 0.0000
  Batch 1560/5242, Loss: 5.8919, NLL: 5.8919, Coverage: 0.0000
  Batch 1570/5242, Loss: 5.4134, NLL: 5.4134, Coverage: 0.0000
  Batch 1580/5242, Loss: 5.7153, NLL: 5.7153, Coverage: 0.0000
  Batch 1590/5242, Loss: 5.5576, NLL: 5.5576, Coverage: 0.0000
  Batch 1600/5242, Loss: 5.5977, NLL: 5.5977, Coverage: 0.0000
  Batch 1610/5242, Loss: 5.8022, NLL: 5.8022, Coverage: 0.0000
  Batch 1620/5242, Loss: 5.5059, NLL: 5.5059, Coverage: 0.0000
  Batch 1630/5242, Loss: 5.7304, NLL: 5.7304, Coverage: 0.0000
  Batch 1640/5242, Loss: 5.8850, NLL: 5.8850, Coverage: 0.0000
  Batch 1650/5242, Loss: 5.7378, NLL: 5.7378, Coverage: 0.0000
  Batch 1660/5242, Loss: 5.4360, NLL: 5.4360, Coverage: 0.0000
  Batch 1670/5242, Loss: 5.5960, NLL: 5.5960, Coverage: 0.0000
  Batch 1680/5242, Loss: 5.7586, NLL: 5.7586, Coverage: 0.0000
  Batch 1690/5242, Loss: 5.6901, NLL: 5.6901, Coverage: 0.0000
  Batch 1700/5242, Loss: 5.3708, NLL: 5.3708, Coverage: 0.0000
  Batch 1710/5242, Loss: 5.8316, NLL: 5.8316, Coverage: 0.0000
  Batch 1720/5242, Loss: 5.3669, NLL: 5.3669, Coverage: 0.0000
  Batch 1730/5242, Loss: 5.6366, NLL: 5.6366, Coverage: 0.0000
  Batch 1740/5242, Loss: 5.7111, NLL: 5.7111, Coverage: 0.0000
  Batch 1750/5242, Loss: 5.5760, NLL: 5.5760, Coverage: 0.0000
  Batch 1760/5242, Loss: 5.7206, NLL: 5.7206, Coverage: 0.0000
  Batch 1770/5242, Loss: 5.5313, NLL: 5.5313, Coverage: 0.0000
  Batch 1780/5242, Loss: 5.5430, NLL: 5.5430, Coverage: 0.0000
  Batch 1790/5242, Loss: 5.7274, NLL: 5.7274, Coverage: 0.0000
  Batch 1800/5242, Loss: 5.8349, NLL: 5.8349, Coverage: 0.0000
  Batch 1810/5242, Loss: 6.1667, NLL: 6.1667, Coverage: 0.0000
  Batch 1820/5242, Loss: 6.0857, NLL: 6.0857, Coverage: 0.0000
  Batch 1830/5242, Loss: 5.4493, NLL: 5.4493, Coverage: 0.0000
  Batch 1840/5242, Loss: 5.3702, NLL: 5.3702, Coverage: 0.0000
  Batch 1850/5242, Loss: 5.8384, NLL: 5.8384, Coverage: 0.0000
  Batch 1860/5242, Loss: 5.8893, NLL: 5.8893, Coverage: 0.0000
  Batch 1870/5242, Loss: 5.4720, NLL: 5.4720, Coverage: 0.0000
  Batch 1880/5242, Loss: 5.4995, NLL: 5.4995, Coverage: 0.0000
  Batch 1890/5242, Loss: 5.6258, NLL: 5.6258, Coverage: 0.0000
  Batch 1900/5242, Loss: 5.4561, NLL: 5.4561, Coverage: 0.0000
  Batch 1910/5242, Loss: 5.1562, NLL: 5.1562, Coverage: 0.0000
  Batch 1920/5242, Loss: 5.9370, NLL: 5.9370, Coverage: 0.0000
  Batch 1930/5242, Loss: 5.5320, NLL: 5.5320, Coverage: 0.0000
  Batch 1940/5242, Loss: 5.9038, NLL: 5.9038, Coverage: 0.0000
  Batch 1950/5242, Loss: 5.5040, NLL: 5.5040, Coverage: 0.0000
