Job ID: 3824997
Running on node: hyperion-096.sw.ehu.es
Starting time: Thu Nov 27 17:29:41 CET 2025
GPU assigned: 0
Working directory: /scratch/aitordiez/News2Stock/summaries/simple_seq2seq
Starting training...
================================================================================
SIMPLE SEQ2SEQ TRAINING
================================================================================

✓ Using device: cuda

Loading preprocessed data...
✓ Train: 66587 examples
✓ Val: 16647 examples
✓ Vocabulary size: 20000

✓ Created dataloaders (batch_size=8)

================================================================================
INITIALIZING MODEL
================================================================================
✓ Model initialized
✓ Trainable parameters: 25,229,856
✓ Optimizer: Adam (lr=0.001)
✓ Loss: CrossEntropyLoss

================================================================================
TRAINING
================================================================================
✓ Logging to: /scratch/aitordiez/News2Stock/summaries/simple_seq2seq/logs/training_20251127_173002.log

Epoch 1/20
----------------------------------------
  Batch 2530/8324, Loss: 5.9967
  Batch 2540/8324, Loss: 6.2776
  Batch 2550/8324, Loss: 5.6725
  Batch 2560/8324, Loss: 5.7115
  Batch 2570/8324, Loss: 5.8834
  Batch 2580/8324, Loss: 6.3069
  Batch 2590/8324, Loss: 5.7598
  Batch 2600/8324, Loss: 5.6806
  Batch 2610/8324, Loss: 5.9323
  Batch 2620/8324, Loss: 5.5347
  Batch 2630/8324, Loss: 6.1250
  Batch 2640/8324, Loss: 5.9662
  Batch 2650/8324, Loss: 5.8177
  Batch 2660/8324, Loss: 6.3325
  Batch 2670/8324, Loss: 5.6941
  Batch 2680/8324, Loss: 5.6125
  Batch 2690/8324, Loss: 5.4852
  Batch 2700/8324, Loss: 6.0816
  Batch 2710/8324, Loss: 5.6692
  Batch 2720/8324, Loss: 5.7347
  Batch 2730/8324, Loss: 5.9557
  Batch 2740/8324, Loss: 5.5775
  Batch 2750/8324, Loss: 5.8226
  Batch 2760/8324, Loss: 5.8820
  Batch 2770/8324, Loss: 6.1466
  Batch 2780/8324, Loss: 5.6263
  Batch 2790/8324, Loss: 5.5556
  Batch 2800/8324, Loss: 5.9696
  Batch 2810/8324, Loss: 5.6626
  Batch 2820/8324, Loss: 5.4593
  Batch 2830/8324, Loss: 5.7857
  Batch 2840/8324, Loss: 5.8519
  Batch 2850/8324, Loss: 5.8849
  Batch 2860/8324, Loss: 5.7305
  Batch 2870/8324, Loss: 5.7423
  Batch 2880/8324, Loss: 6.1355
  Batch 2890/8324, Loss: 5.4453
  Batch 2900/8324, Loss: 5.9362
  Batch 2910/8324, Loss: 5.3529
  Batch 2920/8324, Loss: 5.5174
  Batch 2930/8324, Loss: 5.8654
  Batch 2940/8324, Loss: 5.8944
  Batch 2950/8324, Loss: 5.8472
  Batch 2960/8324, Loss: 6.0843
  Batch 2970/8324, Loss: 5.5283
  Batch 2980/8324, Loss: 5.7757
  Batch 2990/8324, Loss: 5.2939
  Batch 3000/8324, Loss: 5.9289
  Batch 3010/8324, Loss: 5.9789
  Batch 3020/8324, Loss: 5.8799
  Batch 3030/8324, Loss: 5.8719
  Batch 3040/8324, Loss: 5.6574
  Batch 3050/8324, Loss: 6.0008
  Batch 3060/8324, Loss: 5.4435
  Batch 3070/8324, Loss: 5.5090
  Batch 3080/8324, Loss: 5.2732
  Batch 3090/8324, Loss: 5.7797
  Batch 3100/8324, Loss: 5.1247
  Batch 3110/8324, Loss: 6.1078
  Batch 3120/8324, Loss: 5.3133
  Batch 3130/8324, Loss: 5.7678
  Batch 3140/8324, Loss: 5.8249
  Batch 3150/8324, Loss: 5.8276
  Batch 3160/8324, Loss: 5.9261
  Batch 3170/8324, Loss: 5.9935
  Batch 3180/8324, Loss: 5.7748
  Batch 3190/8324, Loss: 6.0706
  Batch 3200/8324, Loss: 5.6022
  Batch 3210/8324, Loss: 6.1545
  Batch 3220/8324, Loss: 6.0435
  Batch 3230/8324, Loss: 6.0438
  Batch 3240/8324, Loss: 5.5907
  Batch 3250/8324, Loss: 5.6128
  Batch 3260/8324, Loss: 6.3084
  Batch 3270/8324, Loss: 5.6536
  Batch 3280/8324, Loss: 5.6737
  Batch 3290/8324, Loss: 5.8664
  Batch 3300/8324, Loss: 5.8976
  Batch 3310/8324, Loss: 6.0230
  Batch 3320/8324, Loss: 5.5954
  Batch 3330/8324, Loss: 5.6266
  Batch 3340/8324, Loss: 5.5138
  Batch 3350/8324, Loss: 5.7038
  Batch 3360/8324, Loss: 6.0563
  Batch 3370/8324, Loss: 5.9921
  Batch 3380/8324, Loss: 5.6788
  Batch 3390/8324, Loss: 5.6113
  Batch 3400/8324, Loss: 5.6182
  Batch 3410/8324, Loss: 5.7326
  Batch 3420/8324, Loss: 5.9362
  Batch 3430/8324, Loss: 5.3576
  Batch 3440/8324, Loss: 6.0025
  Batch 3450/8324, Loss: 6.0545
  Batch 3460/8324, Loss: 5.8807
  Batch 3470/8324, Loss: 5.6023
  Batch 3480/8324, Loss: 5.8435
  Batch 3490/8324, Loss: 5.1865
  Batch 3500/8324, Loss: 5.9063
  Batch 3510/8324, Loss: 6.2021
  Batch 3520/8324, Loss: 5.8149
  Batch 3530/8324, Loss: 6.1563
  Batch 3540/8324, Loss: 6.0447
  Batch 3550/8324, Loss: 5.8081
  Batch 3560/8324, Loss: 5.4431
  Batch 3570/8324, Loss: 6.1038
  Batch 3580/8324, Loss: 5.2700
  Batch 3590/8324, Loss: 5.7940
  Batch 3600/8324, Loss: 5.3129
  Batch 3610/8324, Loss: 5.4182
  Batch 3620/8324, Loss: 5.9968
  Batch 3630/8324, Loss: 5.3447
  Batch 3640/8324, Loss: 5.5682
  Batch 3650/8324, Loss: 5.3868
  Batch 3660/8324, Loss: 5.7814
  Batch 3670/8324, Loss: 5.7771
  Batch 3680/8324, Loss: 6.1613
  Batch 3690/8324, Loss: 5.3281
  Batch 3700/8324, Loss: 5.6823
  Batch 3710/8324, Loss: 5.6454
  Batch 3720/8324, Loss: 5.5742
  Batch 3730/8324, Loss: 5.8410
  Batch 3740/8324, Loss: 5.3424
  Batch 3750/8324, Loss: 5.7227
  Batch 3760/8324, Loss: 5.4872
  Batch 3770/8324, Loss: 6.0159
  Batch 3780/8324, Loss: 5.6614
  Batch 3790/8324, Loss: 5.9931
  Batch 3800/8324, Loss: 5.7974
  Batch 3810/8324, Loss: 5.4760
  Batch 3820/8324, Loss: 5.8136
  Batch 3830/8324, Loss: 5.8143
  Batch 3840/8324, Loss: 5.9050
  Batch 3850/8324, Loss: 5.6311
  Batch 3860/8324, Loss: 5.0634
  Batch 3870/8324, Loss: 5.3163
  Batch 3880/8324, Loss: 5.5931
  Batch 3890/8324, Loss: 5.9235
  Batch 3900/8324, Loss: 5.7920
  Batch 3910/8324, Loss: 6.0018
  Batch 3920/8324, Loss: 5.8207
  Batch 3930/8324, Loss: 5.6504
  Batch 3940/8324, Loss: 6.2376
  Batch 3950/8324, Loss: 5.6572
  Batch 3960/8324, Loss: 5.6318
  Batch 3970/8324, Loss: 5.4645
  Batch 3980/8324, Loss: 5.5251
  Batch 3990/8324, Loss: 5.8054
  Batch 4000/8324, Loss: 5.3118
  Batch 4010/8324, Loss: 5.8145
  Batch 4020/8324, Loss: 5.3889
  Batch 4030/8324, Loss: 5.5694
  Batch 4040/8324, Loss: 5.9888
  Batch 4050/8324, Loss: 5.6600
  Batch 4060/8324, Loss: 6.0218
  Batch 4070/8324, Loss: 5.8125
  Batch 4080/8324, Loss: 5.3762
  Batch 4090/8324, Loss: 5.4921
  Batch 4100/8324, Loss: 5.9145
  Batch 4110/8324, Loss: 5.8625
  Batch 4120/8324, Loss: 5.5753
  Batch 4130/8324, Loss: 5.1673
  Batch 4140/8324, Loss: 5.5063
  Batch 4150/8324, Loss: 5.5135
  Batch 4160/8324, Loss: 6.2172
  Batch 4170/8324, Loss: 5.9200
  Batch 4180/8324, Loss: 5.7372
  Batch 4190/8324, Loss: 5.6503
  Batch 4200/8324, Loss: 5.6839
  Batch 4210/8324, Loss: 6.1023
  Batch 4220/8324, Loss: 5.5004
  Batch 4230/8324, Loss: 5.3062
  Batch 4240/8324, Loss: 5.9497
  Batch 4250/8324, Loss: 5.5677
  Batch 4260/8324, Loss: 5.5733
  Batch 4270/8324, Loss: 5.2925
  Batch 4280/8324, Loss: 5.5505
  Batch 4290/8324, Loss: 4.9995
  Batch 4300/8324, Loss: 5.4131
  Batch 4310/8324, Loss: 5.9471
  Batch 4320/8324, Loss: 5.5926
  Batch 4330/8324, Loss: 5.5605
  Batch 4340/8324, Loss: 5.2328
  Batch 4350/8324, Loss: 5.6537
  Batch 4360/8324, Loss: 5.3653
  Batch 4370/8324, Loss: 5.2673
  Batch 4380/8324, Loss: 5.6662
  Batch 4390/8324, Loss: 5.5414
  Batch 4400/8324, Loss: 5.4456
  Batch 4410/8324, Loss: 5.4983
  Batch 4420/8324, Loss: 5.1790
  Batch 4430/8324, Loss: 5.7690
  Batch 4440/8324, Loss: 5.5665
  Batch 4450/8324, Loss: 5.1702
  Batch 4460/8324, Loss: 6.1104
  Batch 4470/8324, Loss: 5.6793
  Batch 4480/8324, Loss: 5.9943
  Batch 4490/8324, Loss: 5.8302
  Batch 4500/8324, Loss: 5.4800
  Batch 4510/8324, Loss: 5.5087
  Batch 4520/8324, Loss: 5.7887
  Batch 4530/8324, Loss: 5.4360
  Batch 4540/8324, Loss: 5.6033
  Batch 4550/8324, Loss: 5.9241
  Batch 4560/8324, Loss: 5.5552
  Batch 4570/8324, Loss: 5.9345
  Batch 4580/8324, Loss: 5.6101
  Batch 4590/8324, Loss: 5.7127
  Batch 4600/8324, Loss: 5.7698
  Batch 4610/8324, Loss: 5.8195
  Batch 4620/8324, Loss: 5.5471
  Batch 4630/8324, Loss: 5.5858
  Batch 4640/8324, Loss: 5.3109
  Batch 4650/8324, Loss: 5.7245
  Batch 4660/8324, Loss: 5.2098
  Batch 4670/8324, Loss: 5.8503
  Batch 4680/8324, Loss: 5.3047
  Batch 4690/8324, Loss: 5.5534
  Batch 4700/8324, Loss: 5.2593
  Batch 4710/8324, Loss: 5.7909
  Batch 4720/8324, Loss: 5.2371
  Batch 4730/8324, Loss: 6.0371
  Batch 4740/8324, Loss: 5.3188
  Batch 4750/8324, Loss: 5.7205
  Batch 4760/8324, Loss: 5.1724
  Batch 4770/8324, Loss: 5.5865
  Batch 4780/8324, Loss: 5.4642
  Batch 4790/8324, Loss: 6.0786
  Batch 4800/8324, Loss: 5.7022
  Batch 4810/8324, Loss: 5.6407
  Batch 4820/8324, Loss: 5.1594
  Batch 4830/8324, Loss: 5.5293
  Batch 4840/8324, Loss: 5.1483
  Batch 4850/8324, Loss: 5.2375
  Batch 4860/8324, Loss: 6.0486
  Batch 4870/8324, Loss: 5.4371
  Batch 4880/8324, Loss: 5.4297
  Batch 4890/8324, Loss: 5.5740
  Batch 4900/8324, Loss: 5.8904
  Batch 4910/8324, Loss: 5.4099
  Batch 4920/8324, Loss: 5.3479
  Batch 4930/8324, Loss: 6.3544
  Batch 4940/8324, Loss: 5.8760
  Batch 4950/8324, Loss: 5.8752
  Batch 4960/8324, Loss: 5.9347
  Batch 4970/8324, Loss: 5.0027
  Batch 4980/8324, Loss: 6.0873
  Batch 4990/8324, Loss: 5.7463
  Batch 5000/8324, Loss: 5.4977
  Batch 5010/8324, Loss: 5.9109
  Batch 5020/8324, Loss: 5.6695
  Batch 5030/8324, Loss: 5.6917
  Batch 5040/8324, Loss: 5.6138
  Batch 5050/8324, Loss: 5.4066
  Batch 5060/8324, Loss: 5.6061
  Batch 5070/8324, Loss: 5.8587
  Batch 5080/8324, Loss: 5.5038
  Batch 5090/8324, Loss: 5.4197
  Batch 5100/8324, Loss: 5.0621
  Batch 5110/8324, Loss: 5.6203
  Batch 5120/8324, Loss: 4.9051
  Batch 5130/8324, Loss: 5.4691
  Batch 5140/8324, Loss: 5.5841
  Batch 5150/8324, Loss: 5.3823
  Batch 5160/8324, Loss: 5.6053
  Batch 5170/8324, Loss: 5.6655
  Batch 5180/8324, Loss: 5.6213
  Batch 5190/8324, Loss: 5.6077
  Batch 5200/8324, Loss: 5.1537
  Batch 5210/8324, Loss: 5.8037
  Batch 5220/8324, Loss: 6.0633
  Batch 5230/8324, Loss: 5.7823
  Batch 5240/8324, Loss: 5.3359
  Batch 5250/8324, Loss: 5.8012
  Batch 5260/8324, Loss: 5.7264
  Batch 5270/8324, Loss: 6.0581
  Batch 5280/8324, Loss: 5.7362
  Batch 5290/8324, Loss: 5.6046
  Batch 5300/8324, Loss: 5.6023
  Batch 5310/8324, Loss: 5.8317
  Batch 5320/8324, Loss: 5.7956
  Batch 5330/8324, Loss: 5.6418
  Batch 5340/8324, Loss: 5.8686
  Batch 5350/8324, Loss: 5.6019
  Batch 5360/8324, Loss: 5.4785
  Batch 5370/8324, Loss: 5.3034
  Batch 5380/8324, Loss: 5.1504
  Batch 5390/8324, Loss: 5.8493
  Batch 5400/8324, Loss: 5.8202
  Batch 5410/8324, Loss: 6.4450
  Batch 5420/8324, Loss: 5.3683
  Batch 5430/8324, Loss: 5.6936
  Batch 5440/8324, Loss: 5.5788
  Batch 5450/8324, Loss: 5.9729
  Batch 5460/8324, Loss: 5.0675
  Batch 5470/8324, Loss: 5.8025
  Batch 5480/8324, Loss: 5.6639
  Batch 5490/8324, Loss: 6.2113
  Batch 5500/8324, Loss: 5.2538
  Batch 5510/8324, Loss: 5.1944
  Batch 5520/8324, Loss: 5.6201
